p,b,s,n,w
409.0109833590697,99.58272264805777,269.81969620996466,618.4216314870664,685.5515936533722
409.0109833590697,99.58272264805777,269.81969620996466,618.4216314870664,685.5515936533722
687.6401342914946,151.90373897951773,253.7656601252472,557.150592181997,676.6705568558118
586.4303963667097,36.07978587708317,176.08946019435467,1626.1307227584828,578.8767118165922
477.5777559496711,75.16754054861487,256.8020852311042,780.0152637480243,356.50014800771476
913.431566704255,99.43353151943028,213.89702191670568,956.009555574093,651.7941083061315
614.0790298575093,87.95835377572826,263.2679660053638,677.8495481011071,559.0416817532081
494.19608674595145,62.24751365623352,275.1664313193461,872.4468927847414,211.69162261321677
305.8643390470945,52.810216089353915,229.68059275598506,543.5642097226647,307.935480271767
367.65346120697706,56.64640989732111,229.51114212981298,540.4756545104044,897.4755453597985
381.4309899398897,26.09600482745113,160.66078119682294,483.71543865446233,689.9037670516002
381.4201436775803,26.095712445664017,160.66702797302617,483.71266731601014,689.9035970883132
